transaction_id,date_time,risk_score,rules_triggered,ai_reasoning,data_used,action_taken,investigator_decision,final_outcome
TXN_645395,2026-09-18 12:10:39 UTC,0.0716,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.072),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 343.21, ""amount_in_usd"": 343.21}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_180127,2026-09-18 12:10:39 UTC,0.9740,"Unusual hour (night, outside 06:00-22:00); Late-night online purchase",Model strongly flags this transaction due to occurred at night (score 0.974),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 1579.26, ""amount_in_usd"": 1579.26}",Flagged for review,Pending review,Awaiting investigator
TXN_646098,2026-09-18 12:10:39 UTC,0.0108,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.011),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 43.65, ""amount_in_usd"": 43.65}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_620511,2026-09-18 12:10:39 UTC,0.0119,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.012),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 22.6, ""amount_in_usd"": 22.6}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_448726,2026-09-18 12:10:39 UTC,0.0495,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.050),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 111.98, ""amount_in_usd"": 111.98}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_845420,2026-09-18 12:10:39 UTC,0.0612,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.061),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 3.96, ""amount_in_usd"": 3.96}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_694425,2026-09-18 12:10:39 UTC,0.1463,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.146),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 347.66, ""amount_in_usd"": 347.66}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_762514,2026-09-18 12:10:39 UTC,0.1104,"Unusual hour (night, outside 06:00-22:00)",Model finds this transaction low risk due to occurred at night (score 0.110),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 7.83, ""amount_in_usd"": 7.83}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_250020,2026-09-18 12:10:39 UTC,0.0451,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.045),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 148.22, ""amount_in_usd"": 148.22}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_655563,2026-09-18 12:10:39 UTC,0.0474,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.047),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 148.6, ""amount_in_usd"": 148.6}",No action (low risk cleared),Pending review,Awaiting investigator
